id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
ts113447,The Owl House,SHOW,"Accidentally sent to the world of the Boiling Isles before a trip to summer camp, a teenage human named Luz longs to become a witch, with the rebellious Eda and pint-sized demon King at her aid.",2020,,24,"['thriller', 'action', 'comedy', 'family', 'animation', 'fantasy', 'scifi', 'horror', 'drama']",['US'],3.0,tt8050756,8.1,9022.0,107.232,8.8
ts86872,Amphibia,SHOW,"The adventures of 13-year-old, self-centered Anne Boonchuy who is magically transported to the fictitious world of Amphibia, a rural marshland full of frog-people. With the help of an excitable young frog named Sprig, Anne will transform into a hero and discover the first true friendship of her life.",2019,TV-Y7,19,"['scifi', 'thriller', 'animation', 'action', 'family', 'comedy', 'drama', 'fantasy']",['US'],3.0,tt8050740,8.1,4675.0,83.485,8.1
ts301932,Cosmos: Possible Worlds,SHOW,"Following the wildly successful ""Cosmos: A Spacetime Odyssey,"" Neil deGrasse Tyson returns as host to translate more revelations of science into a lavish transporting experience, taking audiences on a series of spiritual voyages of exploration. The show reveals previously uncharted realms, including lost worlds, worlds yet to come, and the worlds that humans may one day inhabit. Ann Druyan, original creative collaborator to Carl Sagan, whose iconic docuseries ""Cosmos"" provided inspiration for this series, serves as executive producer alongside Seth MacFarlane.",2020,TV-PG,43,"['documentation', 'drama', 'thriller', 'scifi']",['US'],1.0,tt11170862,9.1,5944.0,1.96,10.0
ts287331,Gordon Ramsay: Uncharted,SHOW,"Follow Gordon Ramsay as he meets with indigenous people around the globe to learn about the cultures, dishes and flavors unique to each location. Each episode concludes with Ramsay challenging himself with a local food legend by his side - putting his newfound skills to the test as they cook a feast together for the natives.",2019,TV-14,45,"['documentation', 'reality']",['US'],3.0,tt9165706,7.7,1306.0,9.77,8.0
ts287032,The Right Stuff,SHOW,"At the height of the Cold War, newly formed NASA selects seven of the military’s best test pilots to become astronauts. Competing to be the first in space, these men achieve the extraordinary, inspiring the world to turn towards a new horizon of ambition and hope.",2020,TV-14,44,"['drama', 'history']",['US'],1.0,tt7423322,6.7,3684.0,18.538,7.2
ts187275,The World According to Jeff Goldblum,SHOW,"Documentary series in which Goldblum pulls back the curtain on a seemingly familiar object to reveal a world of astonishing connections, fascinating science, and a whole lot of big ideas.",2019,TV-PG,26,"['documentation', 'comedy']",['US'],2.0,tt10196390,7.7,2645.0,10.185,7.1
ts89507,Lost Treasures of Egypt,SHOW,"An immersive, action-packed and discovery-led series following International teams of Egyptologists as they unearth the world's richest seam of ancient archaeology - Egypt's Valley of the Kings.",2019,TV-PG,44,['documentation'],['GB'],3.0,,,,7.003,8.3
ts87334,High School Musical: The Musical: The Series,SHOW,A group of East High students countdown to the opening night of their school’s first-ever production of “High School Musical.” Showmances blossom; friendships are tested while new ones are made; rivalries flare and lives are changed forever as these young people discover the transformative power that only a high school drama club can provide.,2019,TV-PG,32,"['drama', 'comedy']",['US'],3.0,tt8510382,7.1,6449.0,34.82,8.1
ts109657,Lost Treasures of the Maya,SHOW,Archaeologists search for evidence of the Maya civilisation and what became of it.,2019,TV-14,44,"['documentation', 'history']",['GB'],1.0,tt10276578,6.5,215.0,2.295,9.0
ts252988,Life Below Zero: Next Generation,SHOW,Individuals who have recently left their traditional lifestyle behind face a challenging new world off the grid in the wilds of Alaska.,2020,TV-14,44,['reality'],['US'],4.0,tt13049144,5.2,214.0,1.651,10.0
ts214210,Lost Cities with Albert Lin,SHOW,"Utilizing ground-penetrating radar, LiDar and 3D scanning, Lin will work with boots-on-the-ground archaeologists to discover and re-create unexcavated worlds still hidden beneath the earth.",2019,TV-14,42,"['history', 'documentation']","['US', 'GB']",2.0,tt10366494,7.7,413.0,4.662,8.0
ts267890,Disney Gallery / Star Wars: The Mandalorian,SHOW,"Executive producer Jon Favreau invites the cast and crew of The Mandalorian to share an unprecedented look at the making of the series. Each chapter explores a different facet of the first live-action Star Wars television show through interviews, never-before-seen footage, and roundtable conversations hosted by Favreau himself.",2020,TV-PG,33,['documentation'],['US'],2.0,tt12162902,8.4,2806.0,13.598,7.9
ts280148,The Wizard of Paws,SHOW,"Derrick Campana of Bionic Pets makes prosthetics for animals. He has treated over 25,000 animals including dogs, cats, sheep, goat, llama and a few elephants. Each episode tells two of these stories. One is told during a family's appointment at his office. In the second story, he and his dog Henry travel to the home of a different patient where he uses his mobile workshop to help that animal walk again.",2020,,22,"['family', 'reality']",['US'],2.0,tt13897634,9.4,30.0,1.519,
ts222773,The Imagineering Story,SHOW,"Explore the past, present and future of Walt Disney Imagineering with noted filmmaker Leslie Iwerks. Ms. Iwerks comes from a family with deep Disney history — her grandfather was an early Disney animator and her father is a former Imagineer — and her previous work includes profiles of Pixar Animation Studios and visual effects house Industrial Light & Magic.",2019,TV-PG,63,['documentation'],['US'],1.0,,,,6.829,8.2
ts225082,"Heartland Docs, DVM",SHOW,"In picturesque rural Nebraska, the husband and wife veterinary team of Drs. Ben and Erin Schroeder cares for the region's many animals in need.",2020,TV-PG,44,['reality'],['US'],4.0,tt11783490,8.8,112.0,4.447,8.0
ts188644,Marvel 616,SHOW,"An anthology documentary series that explores the historical, cultural and societal impacts of the Marvel Comics Universe and its intersection with the world.",2020,TV-14,52,['documentation'],['US'],1.0,tt10162586,6.4,590.0,7.266,7.6
ts271549,Life Below Zero: Northern Territories,SHOW,"Stories of people, including First Nations people, who live off the grid in remote regions of Northern Canada, and how they spend their day-to-day lives.",2020,,42,"['action', 'reality']","['US', 'CA']",1.0,tt16409608,8.0,12.0,2.602,9.0
ts88328,Hostile Planet,SHOW,This six part documentary draws attention to the most extraordinary — almost supernatural — accounts of animals that have adapted to the cruelest evolutionary curveballs.,2019,TV-PG,47,['documentation'],['US'],1.0,tt8390274,8.2,726.0,5.401,8.0
ts235499,Critter Fixers: Country Vets,SHOW,Dr. Hodges and Dr. Ferguson own and operate a bustling veterinary clinic.,2020,TV-14,44,"['family', 'documentation']",['US'],3.0,tt11929804,8.7,137.0,0.979,
ts235731,"Mira, Royal Detective",SHOW,A brave and resourceful girl becomes a royal detective in India after solving a mystery that saved the kingdom's young prince.,2020,TV-Y,24,[],['US'],3.0,,,,8.0,3.0
